
Host: n011

Timers On : Fri Aug 27 14:00:35 2021
Timers Off: Fri Aug 27 14:00:45 2021

Wall Time:        9.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.883u      0.017s      0.546w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.950u      0.000s      0.562w      1 calls
SAD Guess                           :      0.900u      0.000s      0.540w      1 calls
HF: Form G                          :      0.150u      0.000s      0.096w     14 calls
JK: D                               :      0.000u      0.000s      0.000w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     14 calls
JK: JK                              :      0.133u      0.000s      0.088w     14 calls
PK computes JK                      :      0.133u      0.000s      0.088w     14 calls
JK: AO2USO                          :      0.017u      0.000s      0.004w     14 calls
HF: Form F                          :      0.017u      0.000s      0.000w     14 calls
HF: Form D                          :      0.000u      0.000s      0.000w     14 calls
HF: DIIS                            :      0.017u      0.000s      0.017w     13 calls
DIISManager::add_entry              :      0.000u      0.000s      0.003w     13 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.003w     13 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     13 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     13 calls
New vector                          :      0.000u      0.000s      0.001w     13 calls
HF: Form C                          :      0.000u      0.000s      0.005w     13 calls
ccenergy                            :      1.050u      0.833s      3.731w      1 calls
F build                             :      0.033u      0.017s      0.036w     14 calls
Wmbej build                         :      0.117u      0.033s      0.075w     14 calls
C->Wmbej                            :      0.000u      0.000s      0.003w     14 calls
F->Wmbej                            :      0.117u      0.017s      0.041w     14 calls
E->Wmbej                            :      0.000u      0.000s      0.008w     14 calls
X->Wmbej                            :      0.000u      0.017s      0.020w     14 calls
Z                                   :      0.000u      0.000s      0.012w     14 calls
T2 Build                            :      0.250u      0.200s      0.253w     14 calls
BT2                                 :      0.133u      0.167s      0.162w     14 calls
ABCD:new                            :      0.133u      0.167s      0.162w     14 calls
ABCD:S                              :      0.033u      0.017s      0.036w     14 calls
ABCD:A                              :      0.017u      0.033s      0.036w     14 calls
ABCD:axpy                           :      0.083u      0.117s      0.081w     14 calls
FT2                                 :      0.000u      0.000s      0.010w     14 calls
WmbejT2                             :      0.000u      0.017s      0.026w     14 calls
CT2                                 :      0.050u      0.000s      0.030w     14 calls
cctriples                           :      0.267u      0.033s      0.368w      1 calls
ET_RHF                              :      0.233u      0.017s      0.145w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.883u      0.017s      0.546w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.950u      0.000s      0.562w      1 calls
| SAD Guess                         :      0.900u      0.000s      0.540w      1 calls
HF: Form G                          :      0.150u      0.000s      0.096w     14 calls
| JK: D                             :      0.000u      0.000s      0.000w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     14 calls
| JK: JK                            :      0.133u      0.000s      0.088w     14 calls
| | PK computes JK                  :      0.133u      0.000s      0.088w     14 calls
| JK: AO2USO                        :      0.017u      0.000s      0.004w     14 calls
HF: Form F                          :      0.017u      0.000s      0.000w     14 calls
HF: Form D                          :      0.000u      0.000s      0.000w     14 calls
HF: DIIS                            :      0.017u      0.000s      0.017w     13 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.003w     13 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.003w     13 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     13 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     13 calls
| | New vector                      :      0.000u      0.000s      0.001w     13 calls
HF: Form C                          :      0.000u      0.000s      0.005w     13 calls
ccenergy                            :      1.050u      0.833s      3.731w      1 calls
| F build                           :      0.033u      0.017s      0.036w     14 calls
| Wmbej build                       :      0.117u      0.033s      0.075w     14 calls
| | C->Wmbej                        :      0.000u      0.000s      0.003w     14 calls
| | F->Wmbej                        :      0.117u      0.017s      0.041w     14 calls
| | E->Wmbej                        :      0.000u      0.000s      0.008w     14 calls
| | X->Wmbej                        :      0.000u      0.017s      0.020w     14 calls
| Z                                 :      0.000u      0.000s      0.012w     14 calls
| T2 Build                          :      0.250u      0.200s      0.253w     14 calls
| | BT2                             :      0.133u      0.167s      0.162w     14 calls
| | | ABCD:new                      :      0.133u      0.167s      0.162w     14 calls
| | | | ABCD:S                      :      0.033u      0.017s      0.036w     14 calls
| | | | ABCD:A                      :      0.017u      0.033s      0.036w     14 calls
| | | | ABCD:axpy                   :      0.083u      0.117s      0.081w     14 calls
| | FT2                             :      0.000u      0.000s      0.010w     14 calls
| | WmbejT2                         :      0.000u      0.017s      0.026w     14 calls
| | CT2                             :      0.050u      0.000s      0.030w     14 calls
cctriples                           :      0.267u      0.033s      0.368w      1 calls
| ET_RHF                            :      0.233u      0.017s      0.145w      1 calls

**************************************************************************************
