    6   18
        0.4862123296       -0.0124055495        0.0004293124
       -0.2492057268        0.0093209939       -0.0001370815
       -0.0710114608        0.0835618507       -0.0000349838
       -0.0738768330       -0.0365714306        0.0641080325
       -0.0737558857       -0.0366802590       -0.0643533387
       -0.0183624234       -0.0072256055       -0.0000119408
       -0.0124055495        0.6134346514        0.0002057659
       -0.0359724786       -0.0968894692       -0.0000632757
        0.0682543750       -0.2978835558       -0.0001985874
       -0.0322485954       -0.1105800450        0.0969370878
       -0.0321713063       -0.1103182277       -0.0968647158
        0.0445435547        0.0022366463       -0.0000162748
        0.0004293124        0.0002057659        0.5690918881
       -0.0002020953        0.0000094229       -0.0617186579
        0.0000685611       -0.0002951576       -0.0533429551
        0.0602127016        0.0956889602       -0.2266173763
       -0.0605880357       -0.0956516511       -0.2269055822
        0.0000795559        0.0000426597       -0.0005073167
       -0.2492057268       -0.0359724786       -0.0002020953
        0.4292796145       -0.1329224184        0.0000283304
       -0.0236966594        0.0003273595        0.0000473530
       -0.0297100107       -0.0026450845        0.0026588979
       -0.0295797867       -0.0026455270       -0.0024907619
       -0.0970874310        0.1738581489       -0.0000417240
        0.0093209939       -0.0968894692        0.0000094229
       -0.1329224184        0.5611191632       -0.0000483406
        0.0394246039        0.0062136868       -0.0000256486
       -0.0179324205        0.0042986425       -0.0029513532
       -0.0179576506        0.0043868134        0.0029673434
        0.1200668917       -0.4791288367        0.0000485760
       -0.0001370815       -0.0000632757       -0.0617186579
        0.0000283304       -0.0000483406        0.0442349970
       -0.0000618582       -0.0000272392        0.0020879768
        0.0284931252       -0.0007361934        0.0089028070
       -0.0283364082        0.0008924998        0.0090230842
        0.0000138923       -0.0000174510       -0.0025302071
       -0.0710114608        0.0682543750        0.0000685611
       -0.0236966594        0.0394246039       -0.0000618582
        0.0926754895       -0.0889196490       -0.0001400300
        0.0049022305       -0.0090818176       -0.0010030483
        0.0048176405       -0.0088094444        0.0010621868
       -0.0076872403       -0.0008680679        0.0000741886
        0.0835618507       -0.2978835558       -0.0002951576
        0.0003273595        0.0062136868       -0.0000272392
       -0.0889196490        0.3123716047        0.0001122850
        0.0032004899       -0.0118080384       -0.0005965494
        0.0033415908       -0.0118241537        0.0007878487
       -0.0015116420        0.0029304562        0.0000188124
       -0.0000349838       -0.0001985874       -0.0533429551
        0.0000473530       -0.0000256486        0.0020879768
       -0.0001400300        0.0001122850        0.0476132234
       -0.0084597674        0.0264223110        0.0014820361
        0.0086366476       -0.0262788761        0.0017196880
       -0.0000492194       -0.0000314839        0.0004400308
       -0.0738768330       -0.0322485954        0.0602127016
       -0.0297100107       -0.0179324205        0.0284931252
        0.0049022305        0.0032004899       -0.0084597674
        0.0910757763        0.0431996114       -0.0737232524
        0.0059817830        0.0050739643       -0.0069904509
        0.0016270539       -0.0012930497        0.0004676438
       -0.0365714306       -0.1105800450        0.0956889602
       -0.0026450845        0.0042986425       -0.0007361934
       -0.0090818176       -0.0118080384        0.0264223110
        0.0431996114        0.1085134474       -0.1068033087
        0.0050661423        0.0088964730       -0.0134866690
        0.0000325791        0.0006795204       -0.0010851001
        0.0641080325        0.0969370878       -0.2266173763
        0.0026588979       -0.0029513532        0.0089028070
       -0.0010030483       -0.0005965494        0.0014820361
       -0.0737232524       -0.1068033087        0.2371104472
        0.0070449658        0.0134991057       -0.0208826700
        0.0009144045       -0.0000849823        0.0000047560
       -0.0737558857       -0.0321713063       -0.0605880357
       -0.0295797867       -0.0179576506       -0.0283364082
        0.0048176405        0.0033415908        0.0086366476
        0.0059817830        0.0050661423        0.0070449658
        0.0909506213        0.0430012400        0.0737225842
        0.0015856275       -0.0012800163       -0.0004797537
       -0.0366802590       -0.1103182277       -0.0956516511
       -0.0026455270        0.0043868134        0.0008924998
       -0.0088094444       -0.0118241537       -0.0262788761
        0.0050739643        0.0088964730        0.0134991057
        0.0430012400        0.1081381964        0.1065068078
        0.0000600260        0.0007208986        0.0010321139
       -0.0643533387       -0.0968647158       -0.2269055822
       -0.0024907619        0.0029673434        0.0090230842
        0.0010621868        0.0007878487        0.0017196880
       -0.0069904509       -0.0134866690       -0.0208826700
        0.0737225842        0.1065068078        0.2370681346
       -0.0009502195        0.0000893849       -0.0000226547
       -0.0183624234        0.0445435547        0.0000795559
       -0.0970874310        0.1200668917        0.0000138923
       -0.0076872403       -0.0015116420       -0.0000492194
        0.0016270539        0.0000325791        0.0009144045
        0.0015856275        0.0000600260       -0.0009502195
        0.1199244133       -0.1631914095       -0.0000084138
       -0.0072256055        0.0022366463        0.0000426597
        0.1738581489       -0.4791288367       -0.0000174510
       -0.0008680679        0.0029304562       -0.0000314839
       -0.0012930497        0.0006795204       -0.0000849823
       -0.0012800163        0.0007208986        0.0000893849
       -0.1631914095        0.4725613152        0.0000018725
       -0.0000119408       -0.0000162748       -0.0005073167
       -0.0000417240        0.0000485760       -0.0025302071
        0.0000741886        0.0000188124        0.0004400308
        0.0004676438       -0.0010851001        0.0000047560
       -0.0004797537        0.0010321139       -0.0000226547
       -0.0000084138        0.0000018725        0.0026153917
