    6   18
        0.4772003847       -0.0190050028        0.0006243057
       -0.2419416125        0.0167456523       -0.0002335653
       -0.0697180675        0.0820460895       -0.0002084962
       -0.0714085261       -0.0345497710        0.0613281247
       -0.0713619045       -0.0343799832       -0.0615766599
       -0.0227702741       -0.0108569849        0.0000662909
       -0.0190050028        0.6104501376        0.0003719291
       -0.0323546418       -0.0941150939       -0.0000925450
        0.0688479768       -0.2968718944       -0.0001464470
       -0.0315598589       -0.1098445681        0.0961733141
       -0.0315800502       -0.1097351641       -0.0963246247
        0.0456515770        0.0001165828        0.0000183735
        0.0006243057        0.0003719291        0.5691543535
       -0.0005467049       -0.0001632497       -0.0620449265
       -0.0000368480        0.0000212140       -0.0528733023
        0.0595406367        0.0959251398       -0.2264088059
       -0.0595881445       -0.0961986682       -0.2268858580
        0.0000067549        0.0000436349       -0.0009414609
       -0.2419416125       -0.0323546418       -0.0005467049
        0.4243905017       -0.1395410365        0.0001739659
       -0.0249979322        0.0027568917        0.0001894688
       -0.0315153081       -0.0042707993        0.0055794753
       -0.0315514854       -0.0044126087       -0.0053621372
       -0.0943841635        0.1778221946       -0.0000340680
        0.0167456523       -0.0941150939       -0.0001632497
       -0.1395410365        0.5551958817        0.0000451146
        0.0375283995        0.0063426923        0.0000614224
       -0.0175309598        0.0043490675       -0.0026076144
       -0.0175330534        0.0043040397        0.0026734925
        0.1203309979       -0.4760765872       -0.0000091654
       -0.0002335653       -0.0000925450       -0.0620449265
        0.0001739659        0.0000451146        0.0447278232
        0.0000215223       -0.0000028954        0.0021867387
        0.0285904309       -0.0005890559        0.0088630101
       -0.0285534067        0.0006523352        0.0090242177
        0.0000010528       -0.0000129535       -0.0027568632
       -0.0697180675        0.0688479768       -0.0000368480
       -0.0249979322        0.0375283995        0.0000215223
        0.0924625178       -0.0891886958        0.0000130216
        0.0050262249       -0.0088064106       -0.0011881231
        0.0050240245       -0.0088223659        0.0012028256
       -0.0077967675        0.0004410960       -0.0000123985
        0.0820460895       -0.2968718944        0.0000212140
        0.0027568917        0.0063426923       -0.0000028954
       -0.0891886958        0.3129306379       -0.0000135619
        0.0031605971       -0.0126032673       -0.0005460431
        0.0031688240       -0.0126065824        0.0005441784
       -0.0019437066        0.0028084138       -0.0000028920
       -0.0002084962       -0.0001464470       -0.0528733023
        0.0001894688        0.0000614224        0.0021867387
        0.0000130216       -0.0000135619        0.0477012354
       -0.0083876954        0.0266548057        0.0012099183
        0.0084010522       -0.0265435138        0.0013766698
       -0.0000073512       -0.0000127054        0.0003987401
       -0.0714085261       -0.0315598589        0.0595406367
       -0.0315153081       -0.0175309598        0.0285904309
        0.0050262249        0.0031605971       -0.0083876954
        0.0902443189        0.0427765157       -0.0731865354
        0.0060454514        0.0047267655       -0.0066919289
        0.0016078390       -0.0015730595        0.0001350920
       -0.0345497710       -0.1098445681        0.0959251398
       -0.0042707993        0.0043490675       -0.0005890559
       -0.0088064106       -0.0126032673        0.0266548057
        0.0427765157        0.1088448744       -0.1068085818
        0.0047425324        0.0085235646       -0.0138872361
        0.0001079329        0.0007303289       -0.0012950718
        0.0613281247        0.0961733141       -0.2264088059
        0.0055794753       -0.0026076144        0.0088630101
       -0.0011881231       -0.0005460431        0.0012099183
       -0.0731865354       -0.1068085818        0.2374247988
        0.0067218160        0.0139950292       -0.0214486184
        0.0007452425       -0.0002061039        0.0003596972
       -0.0713619045       -0.0315800502       -0.0595881445
       -0.0315514854       -0.0175330534       -0.0285534067
        0.0050240245        0.0031688240        0.0084010522
        0.0060454514        0.0047425324        0.0067218160
        0.0902410343        0.0427719095        0.0731737390
        0.0016028797       -0.0015701623       -0.0001550560
       -0.0343799832       -0.1097351641       -0.0961986682
       -0.0044126087        0.0043040397        0.0006523352
       -0.0088223659       -0.0126065824       -0.0265435138
        0.0047267655        0.0085235646        0.0139950292
        0.0427719095        0.1087781452        0.1068079999
        0.0001162827        0.0007359970        0.0012868178
       -0.0615766599       -0.0963246247       -0.2268858580
       -0.0053621372        0.0026734925        0.0090242177
        0.0012028256        0.0005441784        0.0013766698
       -0.0066919289       -0.0138872361       -0.0214486184
        0.0731737390        0.1068079999        0.2376062526
       -0.0007458386        0.0001861899        0.0003273364
       -0.0227702741        0.0456515770        0.0000067549
       -0.0943841635        0.1203309979        0.0000010528
       -0.0077967675       -0.0019437066       -0.0000073512
        0.0016078390        0.0001079329        0.0007452425
        0.0016028797        0.0001162827       -0.0007458386
        0.1217404864       -0.1642630839        0.0000001396
       -0.0108569849        0.0001165828        0.0000436349
        0.1778221946       -0.4760765872       -0.0000129535
        0.0004410960        0.0028084138       -0.0000127054
       -0.0015730595        0.0007303289       -0.0002061039
       -0.0015701623        0.0007359970        0.0001861899
       -0.1642630839        0.4716852647        0.0000019380
        0.0000662909        0.0000183735       -0.0009414609
       -0.0000340680       -0.0000091654       -0.0027568632
       -0.0000123985       -0.0000028920        0.0003987401
        0.0001350920       -0.0012950718        0.0003596972
       -0.0001550560        0.0012868178        0.0003273364
        0.0000001396        0.0000019380        0.0026125504
