    4   12
        0.2825647399        0.0000000000        0.0000000000
       -0.1288723165        0.0605407695       -0.0523434753
       -0.0244163497       -0.0002330493       -0.0001011157
       -0.1292760737       -0.0603077197        0.0524445910
        0.0000000000        0.2825647393        0.0000000721
        0.0605408107       -0.0595042148        0.0303371703
       -0.0002330657       -0.1639601281       -0.0604994440
       -0.0603077445       -0.0591003964        0.0301622016
        0.0000000000        0.0000000721        0.1006235168
       -0.0370914233        0.0214973028       -0.0335411999
       -0.0000715670       -0.0428707972       -0.0335410850
        0.0371629903        0.0213734223       -0.0335412319
       -0.1288723165        0.0605408107       -0.0370914233
        0.1333690249       -0.0656875072        0.0427515732
        0.0022088611        0.0000548939       -0.0005673998
       -0.0067055694        0.0050918026       -0.0050927501
        0.0605407695       -0.0595042148        0.0214973028
       -0.0656875072        0.0581036896       -0.0247778732
        0.0101989550       -0.0037569461        0.0055442064
       -0.0050522173        0.0051574713       -0.0022636360
       -0.0523434753        0.0303371703       -0.0335411999
        0.0427515732       -0.0247778732        0.0242545791
        0.0045067676       -0.0032786044        0.0046432978
        0.0050851345       -0.0022806927        0.0046433230
       -0.0244163497       -0.0002330657       -0.0000715670
        0.0022088611        0.0101989550        0.0045067676
        0.0200329910        0.0002528776        0.0000825297
        0.0021744976       -0.0102187670       -0.0045177303
       -0.0002330493       -0.1639601281       -0.0428707972
        0.0000548939       -0.0037569461       -0.0032786044
        0.0002528776        0.1714397653        0.0494129593
       -0.0000747222       -0.0037226910       -0.0032635577
       -0.0001011157       -0.0604994440       -0.0335410850
       -0.0005673998        0.0055442064        0.0046432978
        0.0000825297        0.0494129593        0.0242544551
        0.0005859859        0.0055422783        0.0046433321
       -0.1292760737       -0.0603077445        0.0371629903
       -0.0067055694       -0.0050522173        0.0050851345
        0.0021744976       -0.0000747222        0.0005859859
        0.1338071456        0.0654346841       -0.0428341107
       -0.0603077197       -0.0591003964        0.0213734223
        0.0050918026        0.0051574713       -0.0022806927
       -0.0102187670       -0.0037226910        0.0055422783
        0.0654346841        0.0576656162       -0.0246350078
        0.0524445910        0.0301622016       -0.0335412319
       -0.0050927501       -0.0022636360        0.0046433230
       -0.0045177303       -0.0032635577        0.0046433321
       -0.0428341107       -0.0246350078        0.0242545769
