
Host: n016

Timers On : Sun Feb 28 17:10:24 2021
Timers Off: Sun Feb 28 17:10:34 2021

Wall Time:        9.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.667u      0.017s      0.412w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.933u      0.000s      0.565w      1 calls
SAD Guess                           :      0.900u      0.000s      0.543w      1 calls
HF: Form G                          :      0.183u      0.000s      0.120w     14 calls
JK: D                               :      0.000u      0.000s      0.000w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     14 calls
JK: JK                              :      0.167u      0.000s      0.110w     14 calls
PK computes JK                      :      0.167u      0.000s      0.110w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.005w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.000w     14 calls
HF: DIIS                            :      0.017u      0.000s      0.021w     13 calls
DIISManager::add_entry              :      0.000u      0.000s      0.004w     13 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.004w     13 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     13 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     13 calls
New vector                          :      0.000u      0.000s      0.001w     13 calls
HF: Form C                          :      0.017u      0.017s      0.007w     13 calls
ccenergy                            :      1.000u      0.850s      3.730w      1 calls
F build                             :      0.100u      0.033s      0.036w     14 calls
Wmbej build                         :      0.067u      0.050s      0.075w     14 calls
C->Wmbej                            :      0.000u      0.000s      0.003w     14 calls
F->Wmbej                            :      0.033u      0.050s      0.041w     14 calls
E->Wmbej                            :      0.017u      0.000s      0.008w     14 calls
X->Wmbej                            :      0.000u      0.000s      0.020w     14 calls
Z                                   :      0.000u      0.017s      0.012w     14 calls
T2 Build                            :      0.217u      0.200s      0.253w     14 calls
BT2                                 :      0.167u      0.150s      0.159w     14 calls
ABCD:new                            :      0.167u      0.150s      0.159w     14 calls
ABCD:S                              :      0.067u      0.017s      0.038w     14 calls
ABCD:A                              :      0.033u      0.017s      0.037w     14 calls
ABCD:axpy                           :      0.067u      0.100s      0.076w     14 calls
FT2                                 :      0.000u      0.017s      0.011w     14 calls
WmbejT2                             :      0.017u      0.033s      0.026w     14 calls
CT2                                 :      0.017u      0.000s      0.031w     14 calls
cctriples                           :      0.283u      0.033s      0.372w      1 calls
ET_RHF                              :      0.233u      0.017s      0.146w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.667u      0.017s      0.412w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.933u      0.000s      0.565w      1 calls
| SAD Guess                         :      0.900u      0.000s      0.543w      1 calls
HF: Form G                          :      0.183u      0.000s      0.120w     14 calls
| JK: D                             :      0.000u      0.000s      0.000w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     14 calls
| JK: JK                            :      0.167u      0.000s      0.110w     14 calls
| | PK computes JK                  :      0.167u      0.000s      0.110w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.005w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.000w     14 calls
HF: DIIS                            :      0.017u      0.000s      0.021w     13 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.004w     13 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.004w     13 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     13 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     13 calls
| | New vector                      :      0.000u      0.000s      0.001w     13 calls
HF: Form C                          :      0.017u      0.017s      0.007w     13 calls
ccenergy                            :      1.000u      0.850s      3.730w      1 calls
| F build                           :      0.100u      0.033s      0.036w     14 calls
| Wmbej build                       :      0.067u      0.050s      0.075w     14 calls
| | C->Wmbej                        :      0.000u      0.000s      0.003w     14 calls
| | F->Wmbej                        :      0.033u      0.050s      0.041w     14 calls
| | E->Wmbej                        :      0.017u      0.000s      0.008w     14 calls
| | X->Wmbej                        :      0.000u      0.000s      0.020w     14 calls
| Z                                 :      0.000u      0.017s      0.012w     14 calls
| T2 Build                          :      0.217u      0.200s      0.253w     14 calls
| | BT2                             :      0.167u      0.150s      0.159w     14 calls
| | | ABCD:new                      :      0.167u      0.150s      0.159w     14 calls
| | | | ABCD:S                      :      0.067u      0.017s      0.038w     14 calls
| | | | ABCD:A                      :      0.033u      0.017s      0.037w     14 calls
| | | | ABCD:axpy                   :      0.067u      0.100s      0.076w     14 calls
| | FT2                             :      0.000u      0.017s      0.011w     14 calls
| | WmbejT2                         :      0.017u      0.033s      0.026w     14 calls
| | CT2                             :      0.017u      0.000s      0.031w     14 calls
cctriples                           :      0.283u      0.033s      0.372w      1 calls
| ET_RHF                            :      0.233u      0.017s      0.146w      1 calls

**************************************************************************************
