    6   18
        0.4456225697       -0.0561525033        0.0786560629
       -0.0943998244        0.1406545197       -0.1197117956
       -0.1768631984        0.0729415253       -0.1028557573
       -0.1092147052       -0.1183258469       -0.0394438332
       -0.0320865555        0.1116964420        0.1279073710
       -0.0330582863       -0.1508141368        0.0554479521
       -0.0561525033        0.8071347999       -0.3328837186
       -0.2218757790       -0.2444485826        0.0778680566
        0.1501688469       -0.2715697040       -0.0242049947
       -0.0072368327       -0.2717388895        0.3113609753
        0.0813138591       -0.1069860834        0.0097850996
        0.0537824090        0.0876084596       -0.0419254183
        0.0786560629       -0.3328837186        1.0467275594
       -0.1039768972       -0.0315538083       -0.3214152649
       -0.2385606442        0.1976429186       -0.2945129424
        0.0585231456        0.0657338832       -0.4997973345
        0.1455965625        0.2043371188        0.0215521342
        0.0597617704       -0.1032763938        0.0474458482
       -0.0943998244       -0.2218757790       -0.1039768972
        0.4553494475        0.0582778736        0.1042067685
       -0.0832109657        0.0787622478        0.0434579142
       -0.0793860562        0.0715837501       -0.0189715912
       -0.0913384025       -0.0350751739        0.0396775103
       -0.1070141987        0.0483270813       -0.0643937046
        0.1406545197       -0.2444485826       -0.0315538083
        0.0582778736        0.3521227018        0.0189559280
       -0.0372187421        0.0539584231        0.0283540433
       -0.0371581589        0.0514713324       -0.0231433347
       -0.0626836526        0.0083306666        0.0072704376
       -0.0618718397       -0.2214345413        0.0001167341
       -0.1197117956        0.0778680566       -0.3214152649
        0.1042067685        0.0189559280        0.1968396553
        0.0847694654       -0.0611201263        0.0858362609
        0.0016313040        0.0274425177        0.1540877337
       -0.0616849171       -0.0954234113       -0.0332523352
       -0.0092108252        0.0322770354       -0.0820960497
       -0.1768631984        0.1501688469       -0.2385606442
       -0.0832109657       -0.0372187421        0.0847694654
        0.1808595328       -0.0939805341        0.1077411115
        0.0468793625        0.0123370640        0.1243989195
       -0.0027475588       -0.0957183516       -0.0698799883
        0.0350828276        0.0644117170       -0.0084688639
        0.0729415253       -0.2715697040        0.1976429186
        0.0787622478        0.0539584231       -0.0611201263
       -0.0939805341        0.2210977081       -0.0290082698
       -0.0162074860        0.0179846527       -0.0935452096
       -0.0256908185        0.0026198153       -0.0338528889
       -0.0158249345       -0.0240908952        0.0198835759
       -0.1028557573       -0.0242049947       -0.2945129424
        0.0434579142        0.0283540433        0.0858362609
        0.1077411115       -0.0290082698        0.1728227367
        0.0129768444        0.0808872033        0.1125894638
       -0.0478825816       -0.1031152047       -0.0816714861
       -0.0134375313        0.0470872226        0.0049359671
       -0.1092147052       -0.0072368327        0.0585231456
       -0.0793860562       -0.0371581589        0.0016313040
        0.0468793625       -0.0162074860        0.0129768444
        0.1017343145        0.0467381975       -0.0135258987
        0.0391082411       -0.0048971513       -0.0735330596
        0.0008788433        0.0187614315        0.0139276643
       -0.1183258469       -0.2717388895        0.0657338832
        0.0715837501        0.0514713324        0.0274425177
        0.0123370640        0.0179846527        0.0808872033
        0.0467381975        0.1972019963       -0.1069146881
       -0.0194994675        0.0000948852       -0.0589842967
        0.0071663029        0.0049860230       -0.0081646193
       -0.0394438332        0.3113609753       -0.4997973345
       -0.0189715912       -0.0231433347        0.1540877337
        0.1243989195       -0.0935452096        0.1125894638
       -0.0135258987       -0.1069146881        0.3223790669
       -0.0194255910       -0.1307273698       -0.0514844884
       -0.0330320055        0.0429696268       -0.0377744415
       -0.0320865555        0.0813138591        0.1455965625
       -0.0913384025       -0.0626836526       -0.0616849171
       -0.0027475588       -0.0256908185       -0.0478825816
        0.0391082411       -0.0194994675       -0.0194255910
        0.0909800448        0.0220003957       -0.0210597120
       -0.0039157692        0.0045596839        0.0044562391
        0.1116964420       -0.1069860834        0.2043371188
       -0.0350751739        0.0083306666       -0.0954234113
       -0.0957183516        0.0026198153       -0.1031152047
       -0.0048971513        0.0000948852       -0.1307273698
        0.0220003957        0.1353564806        0.0918730826
        0.0019938391       -0.0394157643        0.0330557845
        0.1279073710        0.0097850996        0.0215521342
        0.0396775103        0.0072704376       -0.0332523352
       -0.0698799883       -0.0338528889       -0.0816714861
       -0.0735330596       -0.0589842967       -0.0514844884
       -0.0210597120        0.0918730826        0.1418871942
       -0.0031121215       -0.0160914342        0.0029689813
       -0.0330582863        0.0537824090        0.0597617704
       -0.1070141987       -0.0618718397       -0.0092108252
        0.0350828276       -0.0158249345       -0.0134375313
        0.0008788433        0.0071663029       -0.0330320055
       -0.0039157692        0.0019938391       -0.0031121215
        0.1080265832        0.0147542231       -0.0009692870
       -0.1508141368        0.0876084596       -0.1032763938
        0.0483270813       -0.2214345413        0.0322770354
        0.0644117170       -0.0240908952        0.0470872226
        0.0187614315        0.0049860230        0.0429696268
        0.0045596839       -0.0394157643       -0.0160914342
        0.0147542231        0.1923467182       -0.0029660569
        0.0554479521       -0.0419254183        0.0474458482
       -0.0643937046        0.0001167341       -0.0820960497
       -0.0084688639        0.0198835759        0.0049359671
        0.0139276643       -0.0081646193       -0.0377744415
        0.0044562391        0.0330557845        0.0029689813
       -0.0009692870       -0.0029660569        0.0645196946
