    6   18
        0.4901998547       -0.0144823529       -0.0000421446
       -0.2513319593        0.0158328691       -0.0000095778
       -0.0714036693        0.0840259038        0.0000481139
       -0.0730553161       -0.0367501075        0.0645163723
       -0.0730141461       -0.0368136841       -0.0645112601
       -0.0213947640       -0.0118126284       -0.0000015037
       -0.0144823529        0.6097631115        0.0000388597
       -0.0353226386       -0.0932393379        0.0000158260
        0.0692446533       -0.2962204302       -0.0000357231
       -0.0323087732       -0.1102186456        0.0971293174
       -0.0323567781       -0.1101885267       -0.0971463119
        0.0452258895        0.0001038289       -0.0000019681
       -0.0000421446        0.0000388597        0.5661906216
        0.0000251218       -0.0000516432       -0.0610232181
       -0.0000109663        0.0000067224       -0.0524698088
        0.0604054979        0.0958263788       -0.2260648816
       -0.0603630132       -0.0958500955       -0.2260446585
       -0.0000144955        0.0000297779       -0.0005880547
       -0.2513319593       -0.0353226386        0.0000251218
        0.4300445994       -0.1389822269        0.0000001583
       -0.0223201224       -0.0004033783       -0.0000209823
       -0.0304072978       -0.0023160866        0.0026118517
       -0.0304210719       -0.0022944656       -0.0026172892
       -0.0955641481        0.1793187960        0.0000011397
        0.0158328691       -0.0932393379       -0.0000516432
       -0.1389822269        0.5550230559       -0.0000117166
        0.0382309337        0.0054350985        0.0000552903
       -0.0177181916        0.0042403685       -0.0028076067
       -0.0176805324        0.0041837091        0.0028136251
        0.1203171479       -0.4756428940        0.0000020511
       -0.0000095778        0.0000158260       -0.0610232181
        0.0000001583       -0.0000117166        0.0449988506
        0.0000023620       -0.0000003152        0.0018258818
        0.0290043045       -0.0005477717        0.0085069554
       -0.0289943447        0.0005361270        0.0085043009
       -0.0000029023        0.0000078505       -0.0028127707
       -0.0714036693        0.0692446533       -0.0000109663
       -0.0223201224        0.0382309337        0.0000023620
        0.0926750783       -0.0893514713        0.0000041604
        0.0046937971       -0.0092322854       -0.0009355701
        0.0046918811       -0.0092311589        0.0009410064
       -0.0083369648        0.0003393285       -0.0000009923
        0.0840259038       -0.2962204302        0.0000067224
       -0.0004033783        0.0054350985       -0.0000003152
       -0.0893514713        0.3118199040       -0.0000111471
        0.0036100115       -0.0119624311       -0.0010459737
        0.0036093856       -0.0119617685        0.0010494873
       -0.0014904513        0.0028896273        0.0000012263
        0.0000481139       -0.0000357231       -0.0524698088
       -0.0000209823        0.0000552903        0.0018258818
        0.0000041604       -0.0000111471        0.0473956301
       -0.0087717520        0.0263567929        0.0014546001
        0.0087251543       -0.0263312686        0.0014555405
        0.0000153056       -0.0000339444        0.0003381563
       -0.0730553161       -0.0323087732        0.0604054979
       -0.0304072978       -0.0177181916        0.0290043045
        0.0046937971        0.0036100115       -0.0087717520
        0.0911766866        0.0431041429       -0.0738693534
        0.0056988917        0.0049623793       -0.0069321732
        0.0018932384       -0.0016495690        0.0001634761
       -0.0367501075       -0.1102186456        0.0958263788
       -0.0023160866        0.0042403685       -0.0005477717
       -0.0092322854       -0.0119624311        0.0263567929
        0.0431041429        0.1085677781       -0.1067839381
        0.0049510121        0.0087998038       -0.0135912575
        0.0002433246        0.0005731262       -0.0012602044
        0.0645163723        0.0971293174       -0.2260648816
        0.0026118517       -0.0028076067        0.0085069554
       -0.0009355701       -0.0010459737        0.0014546001
       -0.0738693534       -0.1067839381        0.2371157589
        0.0069312267        0.0135891760       -0.0212376150
        0.0007454728       -0.0000809748        0.0002251821
       -0.0730141461       -0.0323567781       -0.0603630132
       -0.0304210719       -0.0176805324       -0.0289943447
        0.0046918811        0.0036093856        0.0087251543
        0.0056988917        0.0049510121        0.0069312267
        0.0911406467        0.0431493262        0.0738638189
        0.0019037985       -0.0016724134       -0.0001628420
       -0.0368136841       -0.1101885267       -0.0958500955
       -0.0022944656        0.0041837091        0.0005361270
       -0.0092311589       -0.0119617685       -0.0263312686
        0.0049623793        0.0087998038        0.0135891760
        0.0431493262        0.1085587492        0.1067949273
        0.0002276031        0.0006080331        0.0012611338
       -0.0645112601       -0.0971463119       -0.2260446585
       -0.0026172892        0.0028136251        0.0085043009
        0.0009410064        0.0010494873        0.0014555405
       -0.0069321732       -0.0135912575       -0.0212376150
        0.0738638189        0.1067949273        0.2370960821
       -0.0007441028        0.0000795296        0.0002263499
       -0.0213947640        0.0452258895       -0.0000144955
       -0.0955641481        0.1203171479       -0.0000029023
       -0.0083369648       -0.0014904513        0.0000153056
        0.0018932384        0.0002433246        0.0007454728
        0.0019037985        0.0002276031       -0.0007441028
        0.1214988399       -0.1645235138        0.0000007223
       -0.0118126284        0.0001038289        0.0000297779
        0.1793187960       -0.4756428940        0.0000078505
        0.0003393285        0.0028896273       -0.0000339444
       -0.0016495690        0.0005731262       -0.0000809748
       -0.0016724134        0.0006080331        0.0000795296
       -0.1645235138        0.4714682785       -0.0000022387
       -0.0000015037       -0.0000019681       -0.0005880547
        0.0000011397        0.0000020511       -0.0028127707
       -0.0000009923        0.0000012263        0.0003381563
        0.0001634761       -0.0012602044        0.0002251821
       -0.0001628420        0.0012611338        0.0002263499
        0.0000007223       -0.0000022387        0.0026111371
