    6   18
        0.4979448204       -0.0165621609       -0.0000000529
       -0.2571321530        0.0156954116        0.0000017959
       -0.0713232083        0.0845403615       -0.0000112865
       -0.0734882268       -0.0363389844        0.0644739760
       -0.0734878728       -0.0363548847       -0.0644635342
       -0.0225133594       -0.0109797432       -0.0000008984
       -0.0165621507        0.6078583599       -0.0000037755
       -0.0348154431       -0.0951352547       -0.0000006707
        0.0697599634       -0.2970419580        0.0000329932
       -0.0326783854       -0.1075719729        0.0962461739
       -0.0326923287       -0.1076191286       -0.0962755696
        0.0469883445       -0.0004900456        0.0000008488
       -0.0000000536       -0.0000037758        0.5582821300
       -0.0000005054        0.0000000840       -0.0618671813
       -0.0000095628        0.0000326668       -0.0502917618
        0.0611230618        0.0952257474       -0.2227533763
       -0.0611126634       -0.0952548866       -0.2227074273
       -0.0000002765        0.0000001642       -0.0006623833
       -0.2571321737       -0.0348154804       -0.0000005056
        0.4285031321       -0.1281996348       -0.0000030417
       -0.0226770953       -0.0000699692        0.0000003364
       -0.0300077946       -0.0028422725        0.0033203586
       -0.0300071150       -0.0028418823       -0.0033193107
       -0.0886789534        0.1687692392        0.0000021631
        0.0156954014       -0.0951352491        0.0000000840
       -0.1281996490        0.5553356667        0.0000041627
        0.0382310787        0.0055106906       -0.0000009038
       -0.0172866169        0.0044973077       -0.0027548449
       -0.0172939829        0.0044970489        0.0027556565
        0.1088537686       -0.4747054648       -0.0000041546
        0.0000017958       -0.0000006705       -0.0618672721
       -0.0000030416        0.0000041627        0.0465890970
       -0.0000029571       -0.0000010799        0.0016569475
        0.0288037157       -0.0002620796        0.0087007536
       -0.0288004191        0.0002627444        0.0086986485
        0.0000009063       -0.0000030771       -0.0037781745
       -0.0713232685        0.0697600372       -0.0000095629
       -0.0226770575        0.0382310767       -0.0000029572
        0.0929951477       -0.0904878833        0.0000113908
        0.0046925653       -0.0090443221       -0.0006355818
        0.0046923494       -0.0090441724        0.0006379649
       -0.0083797364        0.0005852639       -0.0000012537
        0.0845404505       -0.2970420108        0.0000326669
       -0.0000700323        0.0055106890       -0.0000010799
       -0.0904878474        0.3131395389       -0.0000352199
        0.0037034166       -0.0121687308       -0.0013087421
        0.0037055715       -0.0121748779        0.0013120760
       -0.0013915589        0.0027353917        0.0000002989
       -0.0000112864        0.0000329930       -0.0502917911
        0.0000003363       -0.0000009038        0.0016569622
        0.0000113907       -0.0000352197        0.0463424661
       -0.0082228449        0.0259915742        0.0008257863
        0.0082221500       -0.0259882714        0.0008322029
        0.0000002544       -0.0000001724        0.0006343735
       -0.0734882103       -0.0326784072        0.0611230373
       -0.0300078020       -0.0172866110        0.0288037080
        0.0046925529        0.0037034412       -0.0082228366
        0.0913391208        0.0437114691       -0.0748607016
        0.0056449110        0.0043794386       -0.0069302383
        0.0018194276       -0.0018293307        0.0000870313
       -0.0363390042       -0.1075719514        0.0952257571
       -0.0028422699        0.0044973082       -0.0002620689
       -0.0090443039       -0.0121687483        0.0259915762
        0.0437114697        0.1068957623       -0.1057893994
        0.0043813907        0.0077678315       -0.0136770487
        0.0001327177        0.0005797978       -0.0014888162
        0.0644739817        0.0962461701       -0.2227533703
        0.0033203576       -0.0027548441        0.0087007420
       -0.0006355885       -0.0013087394        0.0008257631
       -0.0748607035       -0.1057894012        0.2343245939
        0.0069293873        0.0136696542       -0.0212987832
        0.0007725655       -0.0000628396        0.0002010545
       -0.0734878565       -0.0326923508       -0.0611126395
       -0.0300071225       -0.0172939769       -0.0288004113
        0.0046923370        0.0037055963        0.0082221417
        0.0056449111        0.0043813920        0.0069293849
        0.0913371459        0.0437290276        0.0748479441
        0.0018205851       -0.0018296882       -0.0000864198
       -0.0363549045       -0.1076191068       -0.0952548966
       -0.0028418797        0.0044970495        0.0002627338
       -0.0090441542       -0.0121748958       -0.0259882734
        0.0043794373        0.0077678315        0.0136696531
        0.0437290282        0.1069483958        0.1058218977
        0.0001324729        0.0005807258        0.0014888854
       -0.0644635395       -0.0962755655       -0.2227074214
       -0.0033193098        0.0027556557        0.0086986370
        0.0006379716        0.0013120731        0.0008321797
       -0.0069302409       -0.0136770498       -0.0212987832
        0.0748479459        0.1058218994        0.2342739750
       -0.0007728273        0.0000629872        0.0002014129
       -0.0225133113        0.0469883621       -0.0000002763
       -0.0886789970        0.1088537343        0.0000009063
       -0.0083797340       -0.0013915465        0.0000002543
        0.0018194242        0.0001327180        0.0007725640
        0.0018205816        0.0001324732       -0.0007728258
        0.1159320365       -0.1547157410       -0.0000006225
       -0.0109797926       -0.0004900417        0.0000001641
        0.1687692740       -0.4747054587       -0.0000030770
        0.0005852634        0.0027353727       -0.0000001724
       -0.0018293213        0.0005798023       -0.0000628406
       -0.0018296788        0.0005807303        0.0000629882
       -0.1547157447        0.4712995951        0.0000029378
       -0.0000008981        0.0000008488       -0.0006622751
        0.0000021630       -0.0000041546       -0.0037782569
       -0.0000012538        0.0000002990        0.0006344053
        0.0000870119       -0.0014887909        0.0002010257
       -0.0000864006        0.0014888600        0.0002013841
       -0.0000006224        0.0000029378        0.0034037169
