    4   12
        0.6331641932        0.0000000000       -0.0000000006
       -0.1355315847        0.1308099263        0.0898965620
       -0.1355315847       -0.1308099263        0.0898965620
       -0.3621010238       -0.0000000000       -0.1797931234
        0.0000000000        0.0000000000        0.0000000000
       -0.0000000000        0.0000000000        0.0000000000
       -0.0000000000       -0.0000000000        0.0000000000
       -0.0000000000       -0.0000000000       -0.0000000000
       -0.0000000006        0.0000000000        0.2392282139
        0.0610741790       -0.1057835809       -0.0797427382
        0.0610741790        0.1057835809       -0.0797427382
       -0.1221483574       -0.0000000000       -0.0797427375
       -0.1355315847       -0.0000000000        0.0610741790
        0.0765707662       -0.0639002555       -0.0396008148
        0.0765707662        0.0639002555       -0.0396008148
       -0.0176099477        0.0000000000        0.0181274505
        0.1308099263        0.0000000000       -0.1057835809
       -0.0639002555        0.1697038601        0.0538335684
       -0.0639002555       -0.1697038601        0.0538335684
       -0.0030094154        0.0000000000       -0.0018835558
        0.0898965620        0.0000000000       -0.0797427382
       -0.0396008148        0.0538335684        0.0393444138
       -0.0396008148       -0.0538335684        0.0393444138
       -0.0106949325       -0.0000000000        0.0010539106
       -0.1355315847       -0.0000000000        0.0610741790
        0.0765707662       -0.0639002555       -0.0396008148
        0.0765707662        0.0639002555       -0.0396008148
       -0.0176099477        0.0000000000        0.0181274505
       -0.1308099263       -0.0000000000        0.1057835809
        0.0639002555       -0.1697038601       -0.0538335684
        0.0639002555        0.1697038601       -0.0538335684
        0.0030094154       -0.0000000000        0.0018835558
        0.0898965620        0.0000000000       -0.0797427382
       -0.0396008148        0.0538335684        0.0393444138
       -0.0396008148       -0.0538335684        0.0393444138
       -0.0106949325       -0.0000000000        0.0010539106
       -0.3621010238       -0.0000000000       -0.1221483574
       -0.0176099477       -0.0030094154       -0.0106949325
       -0.0176099477        0.0030094154       -0.0106949325
        0.3973209191       -0.0000000000        0.1435382223
       -0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0000000000
        0.0000000000       -0.0000000000       -0.0000000000
       -0.0000000000        0.0000000000        0.0000000000
       -0.1797931234       -0.0000000000       -0.0797427375
        0.0181274505       -0.0018835558        0.0010539106
        0.0181274505        0.0018835558        0.0010539106
        0.1435382223        0.0000000000        0.0776349164
