    9   27
        0.5854919414        0.0000000000        0.3050551549
       -0.1081540824        0.0000000000       -0.2277103153
       -0.2227195012       -0.0000000000        0.0696591381
       -0.1260754436       -0.1024085784       -0.0629025974
       -0.1260754436        0.1024085784       -0.0629025974
        0.0034154010       -0.0266338774        0.0025468516
        0.0034154010        0.0266338774        0.0025468516
       -0.0046491363       -0.0266338774       -0.0131462430
       -0.0046491363        0.0266338774       -0.0131462430
       -0.0000000000        0.1739223591       -0.0000000000
       -0.0000000000        0.1739223595       -0.0000000000
       -0.0000000000        0.1739223592        0.0000000000
        0.0439374948       -0.0869611795        0.0253673246
       -0.0439374948       -0.0869611795       -0.0253673246
       -0.0000000000       -0.0869611798       -0.0507346486
        0.0000000000       -0.0869611798        0.0507346486
       -0.0439374947       -0.0869611796        0.0253673247
        0.0439374947       -0.0869611796       -0.0253673247
        0.3050551549        0.0000000000        0.2332445913
        0.0035147625        0.0000000000       -0.1314686120
       -0.1615659398        0.0000000000       -0.0169031931
       -0.0629025973       -0.0591256203       -0.0534417813
       -0.0629025973        0.0591256203       -0.0534417813
       -0.0178023058       -0.0153770764        0.0014704255
       -0.0178023058        0.0153770764        0.0014704255
        0.0072029143       -0.0153770763        0.0095349626
        0.0072029143        0.0153770763        0.0095349626
       -0.1081540824        0.0000000000        0.0035147625
        0.1812494861        0.0000000000       -0.0459534008
       -0.0062929842       -0.0000000000        0.0810070331
       -0.0006583908       -0.0061673953       -0.0201543105
       -0.0006583908        0.0061673953       -0.0201543105
       -0.0301715571        0.0030836976       -0.0053236692
       -0.0301715571       -0.0030836976       -0.0053236692
       -0.0025712618        0.0030836976        0.0061937823
       -0.0025712618       -0.0030836976        0.0061937823
       -0.0000000000        0.1739223595       -0.0000000000
        0.0000000000        0.5451181359        0.0000000000
       -0.0000000000       -0.1972734155        0.0000000000
        0.0317541501       -0.0869611797        0.0464694970
       -0.0317541501       -0.0869611797       -0.0464694970
       -0.0121833448       -0.2204567620       -0.1072714406
        0.0121833448       -0.2204567620        0.1072714406
        0.0111164760        0.0465344018        0.0076500143
       -0.0111164760        0.0465344018       -0.0076500143
       -0.2277103153       -0.0000000000       -0.1314686120
       -0.0459534008        0.0000000000        0.5122764235
        0.4206676946       -0.0000000000       -0.2959350237
        0.0025468514        0.0307541526        0.0014704253
        0.0025468514       -0.0307541526        0.0014704253
       -0.0029716644        0.0745026972       -0.0826665642
       -0.0029716644       -0.0745026972       -0.0826665642
       -0.0730771762        0.0745026974        0.0387597450
       -0.0730771762       -0.0745026974        0.0387597450
       -0.2227195012       -0.0000000000       -0.1615659398
       -0.0062929842        0.0000000000        0.4206676946
        0.3897228741       -0.0000000000       -0.1663155675
       -0.0066860321        0.0235501798        0.0060269117
       -0.0066860321       -0.0235501798        0.0060269117
       -0.0005343660        0.0660630765       -0.0742531787
       -0.0005343660       -0.0660630765       -0.0742531787
       -0.0731347962        0.0660630767        0.0218331734
       -0.0731347962       -0.0660630767        0.0218331734
       -0.0000000000        0.1739223592       -0.0000000000
        0.0000000000       -0.1972734155        0.0000000000
       -0.0000000000        0.5451181335       -0.0000000000
        0.0561208396       -0.0869611796        0.0042651525
       -0.0561208396       -0.0869611796       -0.0042651525
        0.0121833449        0.0465344018        0.0058021430
       -0.0121833449        0.0465344018       -0.0058021430
       -0.0989914654       -0.2204567608        0.0430846350
        0.0989914654       -0.2204567608       -0.0430846350
        0.0696591381        0.0000000000       -0.0169031931
        0.0810070331        0.0000000000       -0.2959350237
       -0.1663155675       -0.0000000000        0.3038030331
       -0.0166742503       -0.0207181974        0.0074980667
       -0.0166742503        0.0207181974        0.0074980667
        0.0050177799       -0.0345807877        0.0367228492
        0.0050177799        0.0345807877        0.0367228492
        0.0194811685       -0.0345807878       -0.0397033240
        0.0194811685        0.0345807878       -0.0397033240
       -0.1260754436        0.0439374948       -0.0629025973
       -0.0006583908        0.0317541501        0.0025468514
       -0.0066860321        0.0561208396       -0.0166742503
        0.0866724590        0.0186607604        0.0362734052
        0.0458507794       -0.0625982552        0.0343105864
       -0.0045332345       -0.0249864086       -0.0170017161
       -0.0010392493       -0.0186747144        0.0217605421
       -0.0105735827       -0.0252627804        0.0108329751
        0.0170426946       -0.0189510862       -0.0091457966
       -0.1024085784       -0.0869611795       -0.0591256203
       -0.0061673953       -0.0869611797        0.0307541526
        0.0235501798       -0.0869611796       -0.0207181974
        0.0186607604        0.1456714325        0.0107737950
        0.0625982552       -0.0587102529        0.0361411196
       -0.0008483053        0.0422126803        0.0290113826
       -0.0008483053        0.0447484995       -0.0217232659
        0.0247004418        0.0422126802       -0.0152403455
       -0.0192370529        0.0447484994        0.0101269792
       -0.0629025974        0.0253673246       -0.0534417813
       -0.0201543105        0.0464694970        0.0014704253
        0.0060269117        0.0042651525        0.0074980667
        0.0362734052        0.0107737950        0.0447875390
        0.0343105864       -0.0361411196        0.0062323270
        0.0073455784       -0.0147450366       -0.0070120583
        0.0012938186       -0.0111009783        0.0097595678
       -0.0135143196       -0.0142663465       -0.0009717100
        0.0113209271       -0.0106222881       -0.0083223762
       -0.1260754436       -0.0439374948       -0.0629025973
